transaction_id,user_id,timestamp,amount,merchant_category,hour_of_day,day_of_week,distance_from_home,distance_from_last,time_since_last,is_weekend,is_night,velocity_1h,velocity_24h,is_fraud
TXN00062838,4101,2023-01-30 00:34:37.097222,22.35,restaurant,0,0,8.0,0.1,388.0,0,1,0,2,0
TXN00015101,2905,2023-01-10 07:00:29.293697,26.82,grocery,7,1,3.2,2.1,514.0,0,0,0,0,0
TXN00001551,4531,2023-10-28 06:12:17.572377,56.9,travel,6,5,8.3,0.3,128.0,1,0,1,4,0
TXN00065133,4120,2023-08-13 16:53:55.915346,132.49,online_retail,16,6,1.1,9.2,30.0,1,0,0,1,0
TXN00071074,3259,2023-08-26 01:53:44.900651,18.65,online_retail,1,5,3.0,1.9,29.0,1,1,0,0,0
TXN00002725,2607,2023-10-06 19:51:35.699241,3.41,restaurant,19,4,1.5,1.7,264.0,0,0,1,1,0
TXN00120799,1993,2023-09-10 20:35:56.549206,117.54,online_retail,20,6,0.9,3.2,52.0,1,0,0,2,0
TXN00047560,2870,2023-03-22 17:14:41.836603,9.45,restaurant,17,2,7.4,1.5,20.0,0,0,1,2,0
TXN00064509,3785,2023-07-14 16:45:15.197280,39.6,electronics,16,4,0.9,0.6,182.0,0,0,1,0,0
TXN00076518,3985,2023-07-31 21:35:16.261891,8.16,online_retail,21,0,2.2,2.0,52.0,0,0,1,0,0
TXN00031120,4458,2023-07-18 04:10:31.926423,106.66,grocery,4,1,9.6,4.1,345.0,0,1,0,0,0
TXN00097672,2392,2023-03-28 08:34:17.911039,56.33,travel,8,1,1.3,0.4,8.0,0,0,0,2,0
TXN00110390,1037,2023-12-17 16:11:14.972268,98.12,electronics,16,6,16.8,3.7,110.0,1,0,1,2,0
TXN00102544,3146,2023-08-19 05:40:45.049271,26.84,electronics,5,5,2.9,1.1,445.0,1,1,0,1,0
TXN00105396,3052,2023-08-23 23:30:39.492250,66.63,restaurant,23,2,2.7,2.5,11.0,0,1,0,3,0
TXN00029980,824,2023-05-02 10:01:50.298967,134.44,restaurant,10,1,9.5,5.4,53.0,0,0,1,2,0
TXN00056150,45,2023-10-12 01:18:04.566712,57.98,online_retail,1,3,0.8,3.6,2.0,0,1,0,1,0
TXN00056539,3810,2023-10-11 23:49:23.793847,66.03,restaurant,23,2,9.6,0.6,13.0,0,1,2,2,0
TXN00034215,4395,2023-05-15 10:43:01.980759,173.85,travel,10,0,2.2,3.1,122.0,0,0,2,1,0
TXN00120636,3601,2023-10-31 13:43:36.408701,13.32,restaurant,13,1,1.6,8.1,175.0,0,0,1,3,0
TXN00027854,1231,2023-09-27 18:19:44.825683,117.51,grocery,18,2,4.7,1.4,167.0,0,0,2,0,0
TXN00115686,1328,2023-07-08 22:52:08.746452,139.24,travel,22,5,0.1,6.5,211.0,1,1,0,1,0
TXN00120296,3371,2023-05-20 18:06:10.452025,9.44,healthcare,18,5,8.0,0.2,14.0,1,0,1,2,0
TXN00079001,714,2023-02-25 06:40:57.715318,50.43,grocery,6,5,6.2,3.8,40.0,1,0,0,4,0
TXN00001473,1214,2023-04-05 02:06:36.818321,37.57,gas_station,2,2,5.7,1.1,182.0,0,1,0,4,0
TXN00000187,4711,2023-10-18 23:49:59.785239,352.35,restaurant,23,2,5.1,7.5,165.0,0,1,1,3,0
TXN00084246,786,2023-07-18 05:23:41.153401,43.45,online_retail,5,1,0.7,5.7,250.0,0,1,1,0,0
TXN00108797,3541,2023-09-19 05:14:37.342436,45.49,gas_station,5,1,8.2,0.1,30.0,0,1,0,0,0
TXN00013665,2566,2023-09-06 22:56:45.981822,32.83,grocery,22,2,0.1,1.9,244.0,0,1,1,0,0
TXN00099182,2655,2023-09-10 07:20:03.643573,144.17,restaurant,7,6,6.8,6.1,32.0,1,0,0,2,0
TXN00104811,2077,2023-04-23 21:55:09.717793,18.06,grocery,21,6,0.6,0.0,49.0,1,0,2,3,0
TXN00055887,4930,2023-09-21 05:30:44.740282,78.35,online_retail,5,3,15.0,4.2,28.0,0,1,2,1,0
TXN00094448,1557,2023-03-31 01:53:47.399904,24.81,grocery,1,4,1.7,4.7,914.0,0,1,1,4,0
TXN00013564,1896,2023-11-19 08:07:18.714728,64.48,restaurant,8,6,8.8,1.6,128.0,1,0,1,2,0
TXN00014958,4145,2023-12-30 10:59:06.449559,103.97,travel,10,5,16.7,6.9,265.0,1,0,1,1,0
TXN00045160,450,2023-05-31 04:37:36.423983,153.13,restaurant,4,2,13.1,1.2,112.0,0,1,1,2,0
TXN00023241,3147,2023-05-29 13:40:45.974183,56.38,gas_station,13,0,1.2,8.9,170.0,0,0,1,5,0
TXN00016381,318,2023-03-05 03:26:40.414425,94.77,restaurant,3,6,5.3,4.2,233.0,1,1,1,3,0
TXN00105713,556,2023-06-22 10:01:54.736566,95.46,grocery,10,3,12.9,0.9,109.0,0,0,0,0,0
TXN00088219,2719,2023-04-01 16:10:46.541537,192.22,grocery,16,5,15.4,0.7,10.0,1,0,0,0,0
TXN00124489,2809,2023-05-08 05:37:22.521998,9.69,grocery,5,0,9.7,6.7,8.0,0,1,1,0,0
TXN00029464,1399,2023-03-08 05:28:29.281278,54.28,grocery,5,2,0.1,5.8,283.0,0,1,2,4,0
TXN00066509,4462,2023-11-09 12:57:54.956720,71.7,electronics,12,3,2.9,1.5,136.0,0,0,2,1,0
TXN00076166,4255,2023-05-01 21:00:12.624959,27.0,cash_advance,21,0,5.7,0.1,115.0,0,0,0,2,0
TXN00074450,4515,2023-12-28 01:42:28.095319,50.37,electronics,1,3,0.7,1.8,119.0,0,1,0,1,0
TXN00006598,1805,2023-09-10 00:23:00.736093,111.39,grocery,0,6,3.7,4.4,689.0,1,1,0,3,0
TXN00010026,2983,2023-12-15 13:46:42.477885,28.3,grocery,13,4,8.0,6.2,422.0,0,0,2,0,0
TXN00067162,4144,2023-08-26 03:11:36.354433,35.81,gas_station,3,5,3.9,0.7,282.0,1,1,2,2,0
TXN00010777,2585,2023-02-17 10:38:22.428003,61.91,electronics,10,4,6.3,0.1,209.0,0,0,1,0,0
TXN00052738,163,2023-04-16 00:44:45.189576,34.04,electronics,0,6,7.8,1.1,337.0,1,1,0,3,0
TXN00048502,2137,2023-11-27 23:18:21.374215,61.84,restaurant,23,0,4.2,1.2,822.0,0,1,1,1,0
TXN00014686,3340,2023-01-26 18:02:36.353933,350.96,healthcare,18,3,1.4,4.6,238.0,0,0,2,1,0
TXN00040281,2905,2023-02-24 00:21:07.729687,4.4,online_retail,0,4,12.5,0.6,12.0,0,1,0,0,0
TXN00019687,52,2023-04-26 20:37:12.131220,137.83,grocery,20,2,2.8,3.1,62.0,0,0,0,4,0
TXN00126338,187,2023-02-26 01:32:58.627147,13.34,gas_station,1,6,0.2,2.4,493.0,1,1,0,3,0
TXN00052701,3697,2023-11-24 19:32:35.257493,9.99,online_retail,19,4,2.8,1.0,144.0,0,0,0,1,0
TXN00123152,2415,2023-01-15 06:23:03.843076,18.26,grocery,6,6,2.6,0.4,74.0,1,0,0,1,0
TXN00044610,915,2023-04-10 11:24:57.375631,55.76,utilities,11,0,9.5,2.7,28.0,0,0,0,0,0
